datum,uur,gemiddelde
2025-01-01,00:00,-5.41
2025-01-01,01:00,-28.59
2025-01-01,02:00,-9.31
2025-01-01,03:00,-17.92
2025-01-01,04:00,-33.02
2025-01-01,05:00,-0.87
2025-01-01,06:00,0.25
2025-01-01,07:00,0.39
2025-01-01,08:00,0.18
2025-01-01,09:00,0.10
2025-01-01,10:00,-32.37
2025-01-01,11:00,-43.39
2025-01-01,12:00,-22.30
2025-01-01,13:00,-53.85
2025-01-01,14:00,-30.37
2025-01-01,15:00,-44.17
2025-01-01,16:00,-17.44
2025-01-01,17:00,0.63
2025-01-01,18:00,0.14
2025-01-01,19:00,0.77
2025-01-01,20:00,0.39
2025-01-01,21:00,1.43
2025-01-01,22:00,-1.83
2025-01-01,23:00,0.48
2025-01-02,00:00,0.54
2025-01-02,01:00,0.36
2025-01-02,02:00,0.50
2025-01-02,03:00,0.64
2025-01-02,04:00,0.63
2025-01-02,05:00,0.62
2025-01-02,06:00,1.84
2025-01-02,07:00,1.78
2025-01-02,08:00,0.16
2025-01-02,09:00,-12.03
2025-01-02,10:00,-28.11
2025-01-02,11:00,-44.19
2025-01-02,12:00,-60.27
2025-01-02,13:00,-69.63
2025-01-02,23:00,-34.57
2025-01-03,00:00,-65.66
2025-01-03,01:00,-55.70
2025-01-03,02:00,-45.75
2025-01-03,03:00,-35.80
2025-01-03,04:00,-25.85
2025-01-03,05:00,-22.83
2025-01-03,06:00,-24.18
2025-01-03,07:00,-22.53
2025-01-03,08:00,-23.26
2025-01-03,09:00,-23.99
2025-01-03,10:00,-24.72
2025-01-03,11:00,-25.45
2025-01-03,18:00,-17.73
2025-01-03,19:00,-16.16
2025-01-03,20:00,-13.48
2025-01-03,21:00,-10.80
2025-01-03,22:00,-8.11
2025-01-03,23:00,-5.42
2025-01-04,00:00,-1.95
2025-01-04,01:00,-59.16
2025-01-04,02:00,-67.13
2025-01-04,03:00,-4.60
2025-01-04,04:00,0.44
2025-01-04,05:00,-21.06
2025-01-04,06:00,-14.55
2025-01-04,07:00,0.54
2025-01-04,08:00,0.63
2025-01-04,09:00,0.47
2025-01-04,10:00,-0.08
2025-01-04,11:00,-0.38
2025-01-04,12:00,-70.78
2025-01-04,19:00,-5.47
2025-01-04,20:00,2.36
2025-01-04,21:00,1.04
2025-01-04,22:00,0.64
2025-01-04,23:00,0.73
2025-01-05,00:00,0.62
2025-01-05,01:00,0.63
2025-01-05,02:00,0.73
2025-01-05,03:00,0.34
2025-01-05,04:00,0.55
2025-01-05,05:00,0.61
2025-01-05,06:00,0.41
2025-01-05,07:00,0.38
2025-01-05,08:00,1.59
2025-01-05,09:00,1.87
2025-01-05,10:00,1.42
2025-01-05,11:00,0.20
2025-01-05,12:00,0.99
2025-01-05,13:00,1.07
2025-01-05,14:00,0.72
2025-01-05,15:00,0.75
2025-01-05,16:00,-23.45
2025-01-05,17:00,-10.20
2025-01-08,00:00,-18.77
2025-01-08,01:00,-18.37
2025-01-08,02:00,-18.22
2025-01-08,03:00,-18.14
2025-01-08,04:00,-18.05
2025-01-08,05:00,-16.65
2025-01-08,06:00,-11.96
2025-01-08,07:00,-7.14
2025-01-08,08:00,-2.32
2025-01-08,09:00,0.10
2025-01-08,10:00,-0.53
