datum,uur,gemiddelde
2025-01-01,0,-5.41
2025-01-01,1,-28.59
2025-01-01,2,-9.31
2025-01-01,3,-17.92
2025-01-01,4,-33.02
2025-01-01,5,-0.87
2025-01-01,6,0.25
2025-01-01,7,0.39
2025-01-01,8,0.18
2025-01-01,9,0.10
2025-01-01,10,-32.37
2025-01-01,11,-43.39
2025-01-01,12,-22.30
2025-01-01,13,-53.85
2025-01-01,14,-30.37
2025-01-01,15,-44.17
2025-01-01,16,-17.44
2025-01-01,17,0.63
2025-01-01,18,0.14
2025-01-01,19,0.77
2025-01-01,20,0.39
2025-01-01,21,1.43
2025-01-01,22,-1.83
2025-01-01,23,0.48
2025-01-02,0,0.54
2025-01-02,1,0.36
2025-01-02,2,0.50
2025-01-02,3,0.64
2025-01-02,4,0.63
2025-01-02,5,0.62
2025-01-02,6,1.84
2025-01-02,7,1.78
2025-01-02,8,0.16
2025-01-02,9,-12.03
2025-01-02,10,-28.11
2025-01-02,11,-44.19
2025-01-02,12,-60.27
2025-01-02,13,-69.63
2025-01-02,23,-34.57
2025-01-03,0,-65.66
2025-01-03,1,-55.70
2025-01-03,2,-45.75
2025-01-03,3,-35.80
2025-01-03,4,-25.85
2025-01-03,5,-22.83
2025-01-03,6,-24.18
2025-01-03,7,-22.53
2025-01-03,8,-23.26
2025-01-03,9,-23.99
2025-01-03,10,-24.72
2025-01-03,11,-25.45
2025-01-03,18,-17.73
2025-01-03,19,-16.16
2025-01-03,20,-13.48
2025-01-03,21,-10.80
2025-01-03,22,-8.11
2025-01-03,23,-5.42
2025-01-04,0,-1.95
2025-01-04,1,-59.16
2025-01-04,2,-67.13
2025-01-04,3,-4.60
2025-01-04,4,0.44
2025-01-04,5,-21.06
2025-01-04,6,-14.55
2025-01-04,7,0.54
2025-01-04,8,0.63
2025-01-04,9,0.47
2025-01-04,10,-0.08
2025-01-04,11,-0.38
2025-01-04,12,-70.78
2025-01-04,19,-5.47
2025-01-04,20,2.36
2025-01-04,21,1.04
2025-01-04,22,0.64
2025-01-04,23,0.73
2025-01-05,0,0.62
2025-01-05,1,0.63
2025-01-05,2,0.73
2025-01-05,3,0.34
2025-01-05,4,0.55
2025-01-05,5,0.61
2025-01-05,6,0.41
2025-01-05,7,0.38
2025-01-05,8,1.59
2025-01-05,9,1.87
2025-01-05,10,1.42
2025-01-05,11,0.20
2025-01-05,12,0.99
2025-01-05,13,1.07
2025-01-05,14,0.72
2025-01-05,15,0.75
2025-01-05,16,-23.45
2025-01-05,17,-10.20
2025-01-08,0,-18.77
2025-01-08,1,-18.37
2025-01-08,2,-18.22
2025-01-08,3,-18.14
2025-01-08,4,-18.05
2025-01-08,5,-16.65
2025-01-08,6,-11.96
2025-01-08,7,-7.14
2025-01-08,8,-2.32
2025-01-08,9,0.10
2025-01-08,10,-0.53
