datum,uur,gemiddelde
2025-01-01,0,-20.48
2025-01-01,1,-20.50
2025-01-01,2,-20.52
2025-01-01,3,-20.48
2025-01-01,4,-20.50
2025-01-01,5,-20.48
2025-01-01,6,-20.47
2025-01-01,7,-20.50
2025-01-01,8,-10.25
2025-01-01,9,-15.42
2025-01-01,10,-20.50
2025-01-01,11,-20.53
2025-01-01,12,-20.53
2025-01-01,13,-20.53
2025-01-01,14,-20.57
2025-01-01,15,-20.60
2025-01-01,16,-13.72
2025-01-01,17,0.00
2025-01-01,18,0.00
2025-01-01,19,0.00
2025-01-01,20,0.00
2025-01-01,21,0.00
2025-01-01,22,0.00
2025-01-01,23,-6.80
2025-01-02,0,-10.25
2025-01-02,1,-18.82
2025-01-02,2,-20.50
2025-01-02,3,-20.53
2025-01-02,4,-20.50
2025-01-02,5,-20.50
2025-01-02,6,-20.52
2025-01-02,7,-20.55
2025-01-02,8,-3.42
2025-01-02,9,-23.88
2025-01-02,10,-30.68
2025-01-02,11,-30.75
2025-01-02,12,-30.72
2025-01-02,13,-30.70
2025-01-02,14,-30.68
2025-01-02,15,-30.68
2025-01-02,16,-19.02
2025-01-02,17,-10.23
2025-01-02,18,-10.20
2025-01-02,19,-10.20
2025-01-02,20,-6.82
2025-01-02,21,0.00
2025-01-02,22,0.00
2025-01-02,23,-5.05
2025-01-03,0,-20.52
2025-01-03,1,-20.52
2025-01-03,2,-20.52
2025-01-03,3,-20.52
2025-01-03,4,-20.53
2025-01-03,5,-20.55
2025-01-03,6,-20.53
2025-01-03,7,-20.58
2025-01-03,8,-20.50
2025-01-03,9,-20.53
2025-01-03,10,-20.53
2025-01-03,11,-20.53
2025-01-03,12,-20.50
2025-01-03,13,-20.52
2025-01-03,14,-20.53
2025-01-03,15,-20.52
2025-01-03,16,-20.52
2025-01-03,17,-20.52
2025-01-03,18,-20.50
2025-01-03,19,-20.50
2025-01-03,20,-20.50
2025-01-03,21,-20.53
2025-01-03,22,-11.92
2025-01-03,23,-10.20
2025-01-04,0,-10.20
2025-01-04,1,-10.20
2025-01-04,2,-10.20
2025-01-04,3,-10.20
2025-01-04,4,-10.20
2025-01-04,5,-10.20
2025-01-04,6,-10.20
2025-01-04,7,-10.20
2025-01-04,8,-10.20
2025-01-04,9,-10.20
2025-01-04,10,-15.32
2025-01-04,11,-20.42
2025-01-04,12,-20.43
2025-01-04,13,-20.42
2025-01-04,14,-20.40
2025-01-04,15,-20.45
2025-01-04,16,-20.50
2025-01-04,17,-20.50
2025-01-04,18,-20.47
2025-01-04,19,-20.47
2025-01-04,20,-20.43
2025-01-04,21,-20.48
2025-01-04,22,-20.47
2025-01-04,23,-20.50
2025-01-05,0,-20.48
2025-01-05,1,-3.40
2025-01-05,2,0.00
2025-01-05,3,0.00
2025-01-05,4,0.00
2025-01-05,5,0.00
2025-01-05,6,0.00
2025-01-05,7,0.00
2025-01-05,8,0.00
2025-01-05,9,0.00
2025-01-05,10,0.00
2025-01-05,11,0.00
2025-01-05,12,-20.58
2025-01-05,13,-20.52
2025-01-05,14,-20.53
2025-01-05,15,-20.52
2025-01-05,16,-20.52
2025-01-05,17,-20.53
2025-01-05,18,-20.52
2025-01-05,19,-20.50
2025-01-05,20,-20.50
2025-01-05,21,-24.07
2025-01-05,22,-30.72
2025-01-05,23,-30.72
2025-01-06,0,-30.70
2025-01-06,1,-30.70
2025-01-06,2,-30.72
2025-01-06,3,-30.70
2025-01-06,4,-30.67
2025-01-06,5,-30.68
2025-01-06,6,-30.68
2025-01-06,7,-30.70
2025-01-06,8,-30.67
2025-01-06,9,-30.70
2025-01-06,10,-30.70
2025-01-06,11,-30.70
2025-01-06,12,-30.72
2025-01-06,13,-30.72
2025-01-06,14,-30.70
2025-01-06,15,-30.72
2025-01-06,16,-30.72
2025-01-06,17,-30.72
2025-01-06,18,-30.77
2025-01-06,19,-30.73
2025-01-06,20,-30.75
2025-01-06,21,-30.77
2025-01-06,22,-30.75
2025-01-06,23,-30.72
2025-01-07,0,-30.72
2025-01-07,1,-30.70
2025-01-07,2,-30.72
2025-01-07,3,-30.75
2025-01-07,4,-30.73
2025-01-07,5,-30.78
2025-01-07,6,-30.72
2025-01-07,7,-22.18
2025-01-07,8,-20.43
2025-01-07,9,-20.45
2025-01-07,10,-20.45
2025-01-07,11,-20.40
2025-01-07,12,-20.42
2025-01-07,13,-20.42
2025-01-07,14,-20.43
2025-01-07,15,-20.40
2025-01-07,16,-20.42
2025-01-07,17,-20.45
2025-01-07,18,-20.42
2025-01-07,19,-20.42
2025-01-07,20,-20.43
2025-01-07,21,-20.45
2025-01-07,22,-20.40
2025-01-07,23,-20.45
