datum,uur,gemiddelde
2025-01-01,00,0.00
2025-01-01,01,0.00
2025-01-01,02,0.00
2025-01-01,03,0.00
2025-01-01,04,0.00
2025-01-01,05,0.00
2025-01-01,06,0.00
2025-01-01,07,-6.83
2025-01-01,08,-38.83
2025-01-01,09,-30.00
2025-01-01,10,-30.00
2025-01-01,11,-17.67
2025-01-01,12,-15.00
2025-01-01,13,-10.33
2025-01-01,14,0.00
2025-01-01,15,0.00
2025-01-01,16,0.00
2025-01-01,17,0.00
2025-01-01,18,0.00
2025-01-01,19,0.00
2025-01-01,20,-7.00
2025-01-01,21,-19.83
2025-01-01,22,-30.00
2025-01-01,23,-32.00
2025-01-02,00,-44.83
2025-01-02,01,-45.00
2025-01-02,02,-45.00
2025-01-02,03,-45.00
2025-01-02,04,-45.00
2025-01-02,05,-20.50
2025-01-02,06,-2.50
2025-01-02,07,0.00
2025-01-02,08,0.00
2025-01-02,09,0.00
2025-01-02,10,0.00
2025-01-02,11,0.00
2025-01-02,12,0.00
2025-01-02,13,0.00
2025-01-02,14,-4.50
2025-01-02,15,-39.50
2025-01-02,16,-45.00
2025-01-02,17,-45.00
2025-01-02,18,-45.17
2025-01-02,19,-45.00
2025-01-02,20,-45.00
2025-01-02,21,-45.17
2025-01-02,22,-45.00
2025-01-02,23,-5.67
2025-01-03,00,-42.67
2025-01-03,01,-45.00
2025-01-03,02,-45.00
2025-01-03,03,-45.00
2025-01-03,04,-9.83
2025-01-03,05,0.00
2025-01-03,06,0.00
2025-01-03,07,0.00
2025-01-03,08,0.00
2025-01-03,09,0.00
2025-01-03,10,0.00
2025-01-03,11,0.00
2025-01-03,12,0.00
2025-01-03,13,0.00
2025-01-03,14,0.00
2025-01-03,15,0.00
2025-01-03,16,0.00
2025-01-03,17,0.00
2025-01-03,18,0.00
2025-01-03,19,0.00
2025-01-03,20,0.00
2025-01-03,21,0.00
2025-01-03,22,0.00
2025-01-03,23,0.00
2025-01-04,00,0.00
2025-01-04,01,0.00
2025-01-04,02,0.00
2025-01-04,03,0.00
2025-01-04,04,0.00
2025-01-04,05,0.00
2025-01-04,06,0.00
2025-01-04,07,0.00
2025-01-04,08,0.00
2025-01-04,09,0.00
2025-01-04,10,0.00
2025-01-04,11,0.00
2025-01-04,12,0.00
2025-01-04,13,0.00
2025-01-04,14,0.00
2025-01-04,15,-29.83
2025-01-04,16,-30.00
2025-01-04,17,-30.00
2025-01-04,18,-29.83
2025-01-04,19,-30.00
2025-01-04,20,-30.00
2025-01-04,21,-30.00
2025-01-04,22,-30.00
2025-01-04,23,-30.00
2025-01-05,00,-30.00
2025-01-05,01,-30.00
2025-01-05,02,-30.00
2025-01-05,03,-30.00
2025-01-05,04,-30.00
2025-01-05,05,-30.00
2025-01-05,06,-30.00
2025-01-05,07,-30.00
2025-01-05,08,-30.00
2025-01-05,09,-30.00
2025-01-05,10,-30.00
2025-01-05,11,-30.00
2025-01-05,12,-30.00
2025-01-05,13,-30.00
2025-01-05,14,-30.00
2025-01-05,15,-30.00
2025-01-05,16,-30.00
2025-01-05,17,-30.00
2025-01-05,18,-29.83
2025-01-05,19,-30.00
2025-01-05,20,-34.67
2025-01-05,21,-45.33
2025-01-05,22,-55.50
2025-01-05,23,-60.00
2025-01-06,00,-60.00
2025-01-06,01,-60.00
2025-01-06,02,-60.00
2025-01-06,03,-60.00
2025-01-06,04,-60.00
2025-01-06,05,-60.00
2025-01-06,06,-60.00
2025-01-06,07,-60.00
2025-01-06,08,-60.17
2025-01-06,09,-60.17
2025-01-06,10,-60.00
2025-01-06,11,-60.00
2025-01-06,12,-60.00
2025-01-06,13,-60.00
2025-01-06,14,-60.00
2025-01-06,15,-59.33
2025-01-06,16,-60.00
2025-01-06,17,-55.00
2025-01-06,18,-44.83
2025-01-06,19,-30.67
2025-01-06,20,-30.00
2025-01-06,21,-30.33
2025-01-06,22,-30.17
2025-01-06,23,-30.17
2025-01-07,00,-30.00
2025-01-07,01,-30.00
2025-01-07,02,-30.00
2025-01-07,03,-30.17
2025-01-07,04,-15.33
2025-01-07,05,-2.50
2025-01-07,06,0.00
2025-01-07,07,0.00
2025-01-07,08,0.00
2025-01-07,09,0.00
2025-01-07,10,0.00
2025-01-07,11,0.00
2025-01-07,12,0.00
2025-01-07,13,0.00
2025-01-07,14,0.00
2025-01-07,15,0.00
2025-01-07,16,0.00
2025-01-07,17,0.00
2025-01-07,18,0.00
2025-01-07,19,0.00
2025-01-07,20,0.00
2025-01-07,21,0.00
2025-01-07,22,0.00
2025-01-07,23,0.00
