datum,uur,gemiddelde
2025-01-01,0,0.00
2025-01-01,1,0.00
2025-01-01,2,0.00
2025-01-01,3,0.00
2025-01-01,4,0.00
2025-01-01,5,0.00
2025-01-01,6,0.00
2025-01-01,7,-6.83
2025-01-01,8,-38.83
2025-01-01,9,-30.00
2025-01-01,10,-30.00
2025-01-01,11,-17.67
2025-01-01,12,-15.00
2025-01-01,13,-10.33
2025-01-01,14,0.00
2025-01-01,15,0.00
2025-01-01,16,0.00
2025-01-01,17,0.00
2025-01-01,18,0.00
2025-01-01,19,0.00
2025-01-01,20,-7.00
2025-01-01,21,-19.83
2025-01-01,22,-30.00
2025-01-01,23,-32.00
2025-01-02,0,-44.83
2025-01-02,1,-45.00
2025-01-02,2,-45.00
2025-01-02,3,-45.00
2025-01-02,4,-45.00
2025-01-02,5,-20.50
2025-01-02,6,-2.50
2025-01-02,7,0.00
2025-01-02,8,0.00
2025-01-02,9,0.00
2025-01-02,10,0.00
2025-01-02,11,0.00
2025-01-02,12,0.00
2025-01-02,13,0.00
2025-01-02,14,-4.50
2025-01-02,15,-39.50
2025-01-02,16,-45.00
2025-01-02,17,-45.00
2025-01-02,18,-45.17
2025-01-02,19,-45.00
2025-01-02,20,-45.00
2025-01-02,21,-45.17
2025-01-02,22,-45.00
2025-01-02,23,-5.67
2025-01-03,0,-42.67
2025-01-03,1,-45.00
2025-01-03,2,-45.00
2025-01-03,3,-45.00
2025-01-03,4,-9.83
2025-01-03,5,0.00
2025-01-03,6,0.00
2025-01-03,7,0.00
2025-01-03,8,0.00
2025-01-03,9,0.00
2025-01-03,10,0.00
2025-01-03,11,0.00
2025-01-03,12,0.00
2025-01-03,13,0.00
2025-01-03,14,0.00
2025-01-03,15,0.00
2025-01-03,16,0.00
2025-01-03,17,0.00
2025-01-03,18,0.00
2025-01-03,19,0.00
2025-01-03,20,0.00
2025-01-03,21,0.00
2025-01-03,22,0.00
2025-01-03,23,0.00
2025-01-04,0,0.00
2025-01-04,1,0.00
2025-01-04,2,0.00
2025-01-04,3,0.00
2025-01-04,4,0.00
2025-01-04,5,0.00
2025-01-04,6,0.00
2025-01-04,7,0.00
2025-01-04,8,0.00
2025-01-04,9,0.00
2025-01-04,10,0.00
2025-01-04,11,0.00
2025-01-04,12,0.00
2025-01-04,13,0.00
2025-01-04,14,0.00
2025-01-04,15,-29.83
2025-01-04,16,-30.00
2025-01-04,17,-30.00
2025-01-04,18,-29.83
2025-01-04,19,-30.00
2025-01-04,20,-30.00
2025-01-04,21,-30.00
2025-01-04,22,-30.00
2025-01-04,23,-30.00
2025-01-05,0,-30.00
2025-01-05,1,-30.00
2025-01-05,2,-30.00
2025-01-05,3,-30.00
2025-01-05,4,-30.00
2025-01-05,5,-30.00
2025-01-05,6,-30.00
2025-01-05,7,-30.00
2025-01-05,8,-30.00
2025-01-05,9,-30.00
2025-01-05,10,-30.00
2025-01-05,11,-30.00
2025-01-05,12,-30.00
2025-01-05,13,-30.00
2025-01-05,14,-30.00
2025-01-05,15,-30.00
2025-01-05,16,-30.00
2025-01-05,17,-30.00
2025-01-05,18,-29.83
2025-01-05,19,-30.00
2025-01-05,20,-34.67
2025-01-05,21,-45.33
2025-01-05,22,-55.50
2025-01-05,23,-60.00
2025-01-06,0,-60.00
2025-01-06,1,-60.00
2025-01-06,2,-60.00
2025-01-06,3,-60.00
2025-01-06,4,-60.00
2025-01-06,5,-60.00
2025-01-06,6,-60.00
2025-01-06,7,-60.00
2025-01-06,8,-60.17
2025-01-06,9,-60.17
2025-01-06,10,-60.00
2025-01-06,11,-60.00
2025-01-06,12,-60.00
2025-01-06,13,-60.00
2025-01-06,14,-60.00
2025-01-06,15,-59.33
2025-01-06,16,-60.00
2025-01-06,17,-55.00
2025-01-06,18,-44.83
2025-01-06,19,-30.67
2025-01-06,20,-30.00
2025-01-06,21,-30.33
2025-01-06,22,-30.17
2025-01-06,23,-30.17
2025-01-07,0,-30.00
2025-01-07,1,-30.00
2025-01-07,2,-30.00
2025-01-07,3,-30.17
2025-01-07,4,-15.33
2025-01-07,5,-2.50
2025-01-07,6,0.00
2025-01-07,7,0.00
2025-01-07,8,0.00
2025-01-07,9,0.00
2025-01-07,10,0.00
2025-01-07,11,0.00
2025-01-07,12,0.00
2025-01-07,13,0.00
2025-01-07,14,0.00
2025-01-07,15,0.00
2025-01-07,16,0.00
2025-01-07,17,0.00
2025-01-07,18,0.00
2025-01-07,19,0.00
2025-01-07,20,0.00
2025-01-07,21,0.00
2025-01-07,22,0.00
2025-01-07,23,0.00
