uur,katwijk,gouda,halfweg
0,0.00,-5.41,-20.48
1,0.00,-28.59,-20.50
2,0.00,-9.31,-20.52
3,0.00,-17.92,-20.48
4,0.00,-33.02,-20.50
5,0.00,-0.87,-20.48
6,0.00,0.25,-20.47
7,-6.83,0.39,-20.50
8,-38.83,0.18,-10.25
9,-30.00,0.10,-15.42
10,-30.00,-32.37,-20.50
11,-17.67,-43.39,-20.53
12,-15.00,-22.30,-20.53
13,-10.33,-53.85,-20.53
14,0.00,-30.37,-20.57
15,0.00,-44.17,-20.60
16,0.00,-17.44,-13.72
17,0.00,0.63,0.00
18,0.00,0.14,0.00
19,0.00,0.77,0.00
20,-7.00,0.39,0.00
21,-19.83,1.43,0.00
22,-30.00,-1.83,0.00
23,-32.00,0.48,-6.80
