Datum,Uur,Waarde
2025-01-01,00,-0.671
2025-01-01,01,-0.676
2025-01-01,02,-0.663
2025-01-01,03,-0.658
2025-01-01,04,-0.662
2025-01-01,05,-0.669
2025-01-01,06,-0.679
2025-01-01,07,-0.680
2025-01-01,08,-0.678
2025-01-01,09,-0.667
2025-01-01,10,-0.656
2025-01-01,11,-0.652
2025-01-01,12,-0.661
2025-01-01,13,-0.671
2025-01-01,14,-0.675
2025-01-01,15,-0.676
2025-01-01,16,-0.675
2025-01-01,17,-0.673
2025-01-01,18,-0.671
2025-01-01,19,-0.670
2025-01-01,20,-0.669
2025-01-01,21,-0.667
2025-01-01,22,-0.666
2025-01-01,23,-0.664
2025-01-02,00,-0.665
2025-01-02,01,-0.665
2025-01-02,02,-0.666
2025-01-02,03,-0.667
2025-01-02,04,-0.668
2025-01-02,05,-0.669
2025-01-02,06,-0.670
2025-01-02,07,-0.671
2025-01-02,08,-0.672
2025-01-02,09,-0.673
2025-01-02,10,-0.672
2025-01-02,11,-0.671
2025-01-02,12,-0.672
2025-01-02,13,-0.671
2025-01-02,14,-0.671
2025-01-02,15,-0.671
2025-01-02,16,-0.670
2025-01-02,17,-0.670
2025-01-02,18,-0.670
2025-01-02,19,-0.670
2025-01-02,20,-0.669
2025-01-02,21,-0.670
2025-01-02,22,-0.672
2025-01-02,23,-0.671
2025-01-03,00,-0.672
2025-01-03,01,-0.672
2025-01-03,02,-0.671
2025-01-03,03,-0.671
2025-01-03,04,-0.670
2025-01-03,05,-0.669
2025-01-03,06,-0.669
2025-01-03,07,-0.669
2025-01-03,08,-0.669
2025-01-03,09,-0.668
2025-01-03,10,-0.668
2025-01-03,11,-0.667
2025-01-03,12,-0.668
2025-01-03,13,-0.669
2025-01-03,14,-0.669
2025-01-03,15,-0.669
2025-01-03,16,-0.667
2025-01-03,17,-0.666
2025-01-03,18,-0.666
2025-01-03,19,-0.665
2025-01-03,20,-0.665
2025-01-03,21,-0.666
2025-01-03,22,-0.665
2025-01-03,23,-0.664
2025-01-04,00,-0.664
2025-01-04,01,-0.665
2025-01-04,02,-0.665
2025-01-04,03,-0.666
2025-01-04,04,-0.666
2025-01-04,05,-0.667
2025-01-04,06,-0.668
2025-01-04,07,-0.668
2025-01-04,08,-0.668
2025-01-04,09,-0.669
2025-01-04,10,-0.670
2025-01-04,11,-0.671
2025-01-04,12,-0.672
2025-01-04,13,-0.672
2025-01-04,14,-0.673
2025-01-04,15,-0.672
2025-01-04,16,-0.673
2025-01-04,17,-0.672
2025-01-04,18,-0.672
2025-01-04,19,-0.673
2025-01-04,20,-0.672
2025-01-04,21,-0.671
2025-01-04,22,-0.672
2025-01-04,23,-0.671
2025-01-05,00,-0.671
2025-01-05,01,-0.671
2025-01-05,02,-0.670
2025-01-05,03,-0.670
2025-01-05,04,-0.670
2025-01-05,05,-0.670
2025-01-05,06,-0.669
2025-01-05,07,-0.670
2025-01-05,08,-0.671
2025-01-05,09,-0.673
2025-01-05,10,-0.673
2025-01-05,11,-0.673
2025-01-05,12,-0.674
2025-01-05,13,-0.674
2025-01-05,14,-0.674
2025-01-05,15,-0.674
2025-01-05,16,-0.673
2025-01-05,17,-0.672
2025-01-05,18,-0.670
2025-01-05,19,-0.670
2025-01-05,20,-0.669
2025-01-05,21,-0.667
2025-01-05,22,-0.668
2025-01-05,23,-0.666
2025-01-06,00,-0.666
2025-01-06,01,-0.668
2025-01-06,02,-0.667
2025-01-06,03,-0.666
2025-01-06,04,-0.666
2025-01-06,05,-0.666
2025-01-06,06,-0.664
2025-01-06,07,-0.664
2025-01-06,08,-0.663
2025-01-06,09,-0.663
2025-01-06,10,-0.664
2025-01-06,11,-0.662
2025-01-06,12,-0.663
2025-01-06,13,-0.664
2025-01-06,14,-0.666
2025-01-06,15,-0.668
2025-01-06,16,-0.666
2025-01-06,17,-0.667
2025-01-06,18,-0.669
2025-01-06,19,-0.671
2025-01-06,20,-0.671
2025-01-06,21,-0.671
2025-01-06,22,-0.671
2025-01-06,23,-0.672
2025-01-07,00,-0.673
2025-01-07,01,-0.672
2025-01-07,02,-0.672
2025-01-07,03,-0.671
2025-01-07,04,-0.672
2025-01-07,05,-0.673
2025-01-07,06,-0.673
2025-01-07,07,-0.673
2025-01-07,08,-0.674
2025-01-07,09,-0.675
2025-01-07,10,-0.675
2025-01-07,11,-0.675
2025-01-07,12,-0.676
2025-01-07,13,-0.676
2025-01-07,14,-0.676
