Datum,Uur,Waarde
2025-01-01,00,-0.747
2025-01-01,01,-0.749
2025-01-01,02,-0.744
2025-01-01,03,-0.737
2025-01-01,04,-0.731
2025-01-01,05,-0.733
2025-01-01,06,-0.731
2025-01-01,07,-0.733
2025-01-01,08,-0.737
2025-01-01,09,-0.740
2025-01-01,10,-0.742
2025-01-01,11,-0.744
2025-01-01,12,-0.747
2025-01-01,13,-0.748
2025-01-01,14,-0.751
2025-01-01,15,-0.752
2025-01-01,16,-0.752
2025-01-01,17,-0.752
2025-01-01,18,-0.754
2025-01-01,19,-0.752
2025-01-01,20,-0.754
2025-01-01,21,-0.755
2025-01-01,22,-0.754
2025-01-01,23,-0.755
2025-01-02,00,-0.757
2025-01-02,01,-0.756
2025-01-02,02,-0.756
2025-01-02,03,-0.756
2025-01-02,04,-0.752
2025-01-02,05,-0.747
2025-01-02,06,-0.744
2025-01-02,07,-0.741
2025-01-02,08,-0.739
2025-01-02,09,-0.736
2025-01-02,10,-0.733
2025-01-02,11,-0.731
2025-01-02,12,-0.730
2025-01-02,13,-0.728
2025-01-02,14,-0.728
2025-01-02,15,-0.727
2025-01-02,16,-0.725
2025-01-02,17,-0.724
2025-01-02,18,-0.723
2025-01-02,19,-0.721
2025-01-02,20,-0.718
2025-01-02,21,-0.712
2025-01-02,22,-0.713
2025-01-02,23,-0.714
2025-01-03,00,-0.711
2025-01-03,01,-0.709
2025-01-03,02,-0.708
2025-01-03,03,-0.709
2025-01-03,04,-0.710
2025-01-03,05,-0.716
2025-01-03,06,-0.722
2025-01-03,07,-0.719
2025-01-03,08,-0.714
2025-01-03,09,-0.720
2025-01-03,10,-0.728
2025-01-03,11,-0.731
2025-01-03,12,-0.733
2025-01-03,13,-0.735
2025-01-03,14,-0.739
2025-01-03,15,-0.742
2025-01-03,16,-0.744
2025-01-03,17,-0.745
2025-01-03,18,-0.745
2025-01-03,19,-0.748
2025-01-03,20,-0.749
2025-01-03,21,-0.749
2025-01-03,22,-0.750
2025-01-03,23,-0.751
2025-01-04,00,-0.753
2025-01-04,01,-0.753
2025-01-04,02,-0.753
2025-01-04,03,-0.754
2025-01-04,04,-0.755
2025-01-04,05,-0.755
2025-01-04,06,-0.756
2025-01-04,07,-0.757
2025-01-04,08,-0.758
2025-01-04,09,-0.758
2025-01-04,10,-0.760
2025-01-04,11,-0.760
2025-01-04,12,-0.761
2025-01-04,13,-0.762
2025-01-04,14,-0.762
2025-01-04,15,-0.763
2025-01-04,16,-0.762
2025-01-04,17,-0.756
2025-01-04,18,-0.752
2025-01-04,19,-0.750
2025-01-04,20,-0.748
2025-01-04,21,-0.745
2025-01-04,22,-0.743
2025-01-04,23,-0.741
2025-01-05,00,-0.739
2025-01-05,01,-0.739
2025-01-05,02,-0.737
2025-01-05,03,-0.736
2025-01-05,04,-0.735
2025-01-05,05,-0.734
2025-01-05,06,-0.734
2025-01-05,07,-0.734
2025-01-05,08,-0.733
2025-01-05,09,-0.732
2025-01-05,10,-0.733
2025-01-05,11,-0.732
2025-01-05,12,-0.734
2025-01-05,13,-0.733
2025-01-05,14,-0.734
2025-01-05,15,-0.735
2025-01-05,16,-0.734
2025-01-05,17,-0.734
2025-01-05,18,-0.734
2025-01-05,19,-0.735
2025-01-05,20,-0.734
2025-01-05,21,-0.732
2025-01-05,22,-0.733
2025-01-05,23,-0.734
2025-01-06,00,-0.734
2025-01-06,01,-0.733
2025-01-06,02,-0.733
2025-01-06,03,-0.733
2025-01-06,04,-0.732
2025-01-06,05,-0.733
2025-01-06,06,-0.732
2025-01-06,07,-0.731
2025-01-06,08,-0.733
2025-01-06,09,-0.738
2025-01-06,10,-0.740
2025-01-06,11,-0.742
2025-01-06,12,-0.745
2025-01-06,13,-0.731
2025-01-06,14,-0.674
2025-01-06,15,-0.707
2025-01-06,16,-0.768
2025-01-06,17,-0.781
2025-01-06,18,-0.755
2025-01-06,19,-0.737
2025-01-06,20,-0.741
2025-01-06,21,-0.745
2025-01-06,22,-0.743
2025-01-06,23,-0.739
2025-01-07,00,-0.736
2025-01-07,01,-0.735
2025-01-07,02,-0.735
2025-01-07,03,-0.734
2025-01-07,04,-0.733
2025-01-07,05,-0.733
2025-01-07,06,-0.733
2025-01-07,07,-0.732
2025-01-07,08,-0.733
2025-01-07,09,-0.735
2025-01-07,10,-0.734
2025-01-07,11,-0.736
2025-01-07,12,-0.735
2025-01-07,13,-0.735
2025-01-07,14,-0.735
